run_code,chunk_size,batch_size,epochs,embedding_size,num_heads,dim_feedforward,num_layers,lr
3bmODGta,64,8,100,64,4,512,1,0.001
7Zg05AiR,64,8,100,64,4,512,1,0.0001
YxiurjVg,64,8,100,64,4,512,1,1e-05
nxkFueN5,64,16,100,64,4,512,1,0.001
hEWOMuPH,64,16,100,64,4,512,1,0.0001
gBBkhRqs,64,16,100,64,4,512,1,1e-05
4LE0ny3k,64,32,100,64,4,512,1,0.001
vwn58kbT,64,32,100,64,4,512,1,0.0001
1aszrOc3,64,32,100,64,4,512,1,1e-05
peuvOOJi,64,8,100,128,4,512,1,0.001
Gh3rBqyK,64,8,100,128,4,512,1,0.0001
nOEYb5dB,64,8,100,128,4,512,1,1e-05
R4G1RiK1,64,16,100,128,4,512,1,0.001
MsCY60BS,64,16,100,128,4,512,1,0.0001
kzU8rwUd,64,16,100,128,4,512,1,1e-05
uZie0VXg,64,32,100,128,4,512,1,0.001
2aXUqsZl,64,32,100,128,4,512,1,0.0001
u40K2I74,64,32,100,128,4,512,1,1e-05
1NR7M2wQ,64,8,100,256,4,512,1,0.001
gGamWw6c,64,8,100,256,4,512,1,0.0001
QXeOxbrC,64,8,100,256,4,512,1,1e-05
hWzV9gg1,64,16,100,256,4,512,1,0.001
SOaAmakY,64,16,100,256,4,512,1,0.0001
VGxXS4pX,64,16,100,256,4,512,1,1e-05
XJRKBBgS,64,32,100,256,4,512,1,0.001
J4v6LAmh,64,32,100,256,4,512,1,0.0001
JSYD41tI,64,32,100,256,4,512,1,1e-05
Gt8bN6oy,64,8,100,64,4,512,2,0.001
XGc3hSNq,64,8,100,64,4,512,2,0.0001
SLR44aos,64,8,100,64,4,512,2,1e-05
Uin5dcrM,64,16,100,64,4,512,2,0.001
VyQf3UTL,64,16,100,64,4,512,2,0.0001
xUp134x0,64,16,100,64,4,512,2,1e-05
1J953zdu,64,32,100,64,4,512,2,0.001
S0218ZeA,64,32,100,64,4,512,2,0.0001
5HXaGcuO,64,32,100,64,4,512,2,1e-05
hOevG3wi,64,8,100,128,4,512,2,0.001
dNzUtGjf,64,8,100,128,4,512,2,0.0001
IklqHTxR,64,8,100,128,4,512,2,1e-05
8RnSgpe6,64,16,100,128,4,512,2,0.001
M9GnyZfj,64,16,100,128,4,512,2,0.0001
KkIdeXXU,64,16,100,128,4,512,2,1e-05
2RLWPjLV,64,32,100,128,4,512,2,0.001
qwQj5Jq4,64,32,100,128,4,512,2,0.0001
DikfDmYY,64,32,100,128,4,512,2,1e-05
mlJQ5JXR,64,8,100,256,4,512,2,0.001
Y1yau6OQ,64,8,100,256,4,512,2,0.0001
tBpvIcJ1,64,8,100,256,4,512,2,1e-05
4dNIfvWQ,64,16,100,256,4,512,2,0.001
hn1Va5pz,64,16,100,256,4,512,2,0.0001
obcxGQcP,64,16,100,256,4,512,2,1e-05
yAwGRk7v,64,32,100,256,4,512,2,0.001
hRfhkhko,64,32,100,256,4,512,2,0.0001
DJ8gypRr,64,32,100,256,4,512,2,1e-05
Tv7lkneZ,64,8,100,64,4,512,4,0.001
IuFo4LLH,64,8,100,64,4,512,4,0.0001
lWAJRwpT,64,8,100,64,4,512,4,1e-05
wRoPPxip,64,16,100,64,4,512,4,0.001
QljutCQo,64,16,100,64,4,512,4,0.0001
4UraxNsK,64,16,100,64,4,512,4,1e-05
7p91YQtK,64,32,100,64,4,512,4,0.001
3v8J522l,64,32,100,64,4,512,4,0.0001
DJ4c0FNY,64,32,100,64,4,512,4,1e-05
bPpU1aw7,64,8,100,128,4,512,4,0.001
vwa5bZbW,64,8,100,128,4,512,4,0.0001
dzb40aZu,64,8,100,128,4,512,4,1e-05
l0tdHEZl,64,16,100,128,4,512,4,0.001
ISBTAIhI,64,16,100,128,4,512,4,0.0001
lIenFzHA,64,16,100,128,4,512,4,1e-05
t0ybm0l5,64,32,100,128,4,512,4,0.001
g1wHrP79,64,32,100,128,4,512,4,0.0001
XhJNrlQX,64,32,100,128,4,512,4,1e-05
uqwb6pbL,64,8,100,256,4,512,4,0.001
OFZt1niU,64,8,100,256,4,512,4,0.0001
0Lqz2sfr,64,8,100,256,4,512,4,1e-05
H1s1df6K,64,16,100,256,4,512,4,0.001
0IprPGYb,64,16,100,256,4,512,4,0.0001
nPhlO3MG,64,16,100,256,4,512,4,1e-05
dKU1uBj1,64,32,100,256,4,512,4,0.001
TRwpAsTL,64,32,100,256,4,512,4,0.0001
h8YoT6Vj,64,32,100,256,4,512,4,1e-05
euPhDJT3,64,8,100,64,4,512,6,0.001
o3abc5tS,64,8,100,64,4,512,6,0.0001
mZ0BdIw7,64,8,100,64,4,512,6,1e-05
VHXc5qSU,64,16,100,64,4,512,6,0.001
trWUxexg,64,16,100,64,4,512,6,0.0001
HhGcl8un,64,16,100,64,4,512,6,1e-05
ho79Bt9S,64,32,100,64,4,512,6,0.001
jocPqRXr,64,32,100,64,4,512,6,0.0001
KQwjPome,64,32,100,64,4,512,6,1e-05
uGzEvKnC,64,8,100,128,4,512,6,0.001
KYc8P4wR,64,8,100,128,4,512,6,0.0001
L5SVImXI,64,8,100,128,4,512,6,1e-05
g7RqVFuX,64,16,100,128,4,512,6,0.001
jxe0TJWo,64,16,100,128,4,512,6,0.0001
zTrzQDiz,64,16,100,128,4,512,6,1e-05
zYvJ0nRt,64,32,100,128,4,512,6,0.001
9xDvwGPC,64,32,100,128,4,512,6,0.0001
kCbeIy4U,64,32,100,128,4,512,6,1e-05
BlGJ8Tfg,64,8,100,256,4,512,6,0.001
oT9ZfzKf,64,8,100,256,4,512,6,0.0001
rsnEwrSX,64,8,100,256,4,512,6,1e-05
VDHWdbnF,64,16,100,256,4,512,6,0.001
B6s51bHL,64,16,100,256,4,512,6,0.0001
p5Ob6Tgh,64,16,100,256,4,512,6,1e-05
TfVL77kK,64,32,100,256,4,512,6,0.001
YE6WjD4I,64,32,100,256,4,512,6,0.0001
15D00OuP,64,32,100,256,4,512,6,1e-05
3ap0QKDW,128,8,100,64,4,512,1,0.001
RxqDCdmM,128,8,100,64,4,512,1,0.0001
lbz7TtFx,128,8,100,64,4,512,1,1e-05
mVrAZKQ5,128,16,100,64,4,512,1,0.001
9pNYuUPu,128,16,100,64,4,512,1,0.0001
EnZBMsq9,128,16,100,64,4,512,1,1e-05
IVy7L8Jz,128,32,100,64,4,512,1,0.001
nSdDvw6t,128,32,100,64,4,512,1,0.0001
EZBzveL5,128,32,100,64,4,512,1,1e-05
8EszpTcy,128,8,100,128,4,512,1,0.001
I7HKrlVB,128,8,100,128,4,512,1,0.0001
PKUECmm5,128,8,100,128,4,512,1,1e-05
rwHC3a0S,128,16,100,128,4,512,1,0.001
YBzH1Q39,128,16,100,128,4,512,1,0.0001
OpM7UC53,128,16,100,128,4,512,1,1e-05
wba5kWJ2,128,32,100,128,4,512,1,0.001
b84HVxJu,128,32,100,128,4,512,1,0.0001
KLBRTNik,128,32,100,128,4,512,1,1e-05
GTkM9Aph,128,8,100,256,4,512,1,0.001
ETQzTort,128,8,100,256,4,512,1,0.0001
f967m2I2,128,8,100,256,4,512,1,1e-05
RTcNF7tZ,128,16,100,256,4,512,1,0.001
PCO33uDs,128,16,100,256,4,512,1,0.0001
uNsucbEE,128,16,100,256,4,512,1,1e-05
HsrRhSWL,128,32,100,256,4,512,1,0.001
3E40ntEF,128,32,100,256,4,512,1,0.0001
mKGbVDC6,128,32,100,256,4,512,1,1e-05
dhAePtdl,128,8,100,64,4,512,2,0.001
yxjQ7wes,128,8,100,64,4,512,2,0.0001
hFe7gbLc,128,8,100,64,4,512,2,1e-05
YDPnrMsp,128,16,100,64,4,512,2,0.001
vcOytYUo,128,16,100,64,4,512,2,0.0001
mIKI12SJ,128,16,100,64,4,512,2,1e-05
rVaMHVpX,128,32,100,64,4,512,2,0.001
Z7ivauMB,128,32,100,64,4,512,2,0.0001
U54CHRGK,128,32,100,64,4,512,2,1e-05
eUvWwwyI,128,8,100,128,4,512,2,0.001
rorzHyLb,128,8,100,128,4,512,2,0.0001
rzzUd24x,128,8,100,128,4,512,2,1e-05
H7vTlePX,128,16,100,128,4,512,2,0.001
8h0lVhua,128,16,100,128,4,512,2,0.0001
gZTVeEDG,128,16,100,128,4,512,2,1e-05
gVSLTjwT,128,32,100,128,4,512,2,0.001
LfAkNOJo,128,32,100,128,4,512,2,0.0001
79Ge6imc,128,32,100,128,4,512,2,1e-05
hxidiKNS,128,8,100,256,4,512,2,0.001
Nd39vIyi,128,8,100,256,4,512,2,0.0001
ej97zryr,128,8,100,256,4,512,2,1e-05
as2lcuEU,128,16,100,256,4,512,2,0.001
11qKHM7F,128,16,100,256,4,512,2,0.0001
bM5gsGLj,128,16,100,256,4,512,2,1e-05
6gx2PWhc,128,32,100,256,4,512,2,0.001
ZdWncy4l,128,32,100,256,4,512,2,0.0001
QFD3H5Fz,128,32,100,256,4,512,2,1e-05
Ec6E78px,128,8,100,64,4,512,4,0.001
eknGlua5,128,8,100,64,4,512,4,0.0001
PWIt2sKs,128,8,100,64,4,512,4,1e-05
Bfch982Y,128,16,100,64,4,512,4,0.001
LLwirGsP,128,16,100,64,4,512,4,0.0001
gDxoqjKU,128,16,100,64,4,512,4,1e-05
KK47GNd6,128,32,100,64,4,512,4,0.001
TlVCDn1C,128,32,100,64,4,512,4,0.0001
Qpd6ZO0J,128,32,100,64,4,512,4,1e-05
Pk1Vk4Ao,128,8,100,128,4,512,4,0.001
40f4JEtP,128,8,100,128,4,512,4,0.0001
ZacBwoXr,128,8,100,128,4,512,4,1e-05
mtUpQIaP,128,16,100,128,4,512,4,0.001
hzrFikbk,128,16,100,128,4,512,4,0.0001
Jhj3tUtf,128,16,100,128,4,512,4,1e-05
9cYJlxXy,128,32,100,128,4,512,4,0.001
DY5K8IKw,128,32,100,128,4,512,4,0.0001
SZd3huwS,128,32,100,128,4,512,4,1e-05
zzoaDCq9,128,8,100,256,4,512,4,0.001
bGdufeEp,128,8,100,256,4,512,4,0.0001
LR7JQkx7,128,8,100,256,4,512,4,1e-05
iImG5Y3b,128,16,100,256,4,512,4,0.001
OV6U1uAH,128,16,100,256,4,512,4,0.0001
bXAcRMSJ,128,16,100,256,4,512,4,1e-05
VzialBBU,128,32,100,256,4,512,4,0.001
ZM3cQdlH,128,32,100,256,4,512,4,0.0001
awm0cai8,128,32,100,256,4,512,4,1e-05
ky77Keol,128,8,100,64,4,512,6,0.001
3zPPOjVc,128,8,100,64,4,512,6,0.0001
nyaZ6iXJ,128,8,100,64,4,512,6,1e-05
nygjkVYo,128,16,100,64,4,512,6,0.001
OFK96iao,128,16,100,64,4,512,6,0.0001
KYZGW05Q,128,16,100,64,4,512,6,1e-05
Di7l87Rp,128,32,100,64,4,512,6,0.001
Sp0HICle,128,32,100,64,4,512,6,0.0001
7AS0RQ8o,128,32,100,64,4,512,6,1e-05
usfL5K9h,128,8,100,128,4,512,6,0.001
NYG0c2Vz,128,8,100,128,4,512,6,0.0001
ydqpD96I,128,8,100,128,4,512,6,1e-05
lIsiY5OF,128,16,100,128,4,512,6,0.001
cwKNCSSJ,128,16,100,128,4,512,6,0.0001
bYKdTGPJ,128,16,100,128,4,512,6,1e-05
FMjVysDC,128,32,100,128,4,512,6,0.001
W1XrHBuT,128,32,100,128,4,512,6,0.0001
qDoguhGK,128,32,100,128,4,512,6,1e-05
69BawFum,128,8,100,256,4,512,6,0.001
ytQ8JxUP,128,8,100,256,4,512,6,0.0001
UPefmfIx,128,8,100,256,4,512,6,1e-05
7cW6F6Rc,128,16,100,256,4,512,6,0.001
hJJuFCzs,128,16,100,256,4,512,6,0.0001
v56vQ0GA,128,16,100,256,4,512,6,1e-05
3YGsb9Zv,128,32,100,256,4,512,6,0.001
smUkxsOd,128,32,100,256,4,512,6,0.0001
jzgzRxDJ,128,32,100,256,4,512,6,1e-05
HfYseOob,256,8,100,64,4,512,1,0.001
5RltOVX5,256,8,100,64,4,512,1,0.0001
Fzo9UEjq,256,8,100,64,4,512,1,1e-05
3IW1eEBC,256,16,100,64,4,512,1,0.001
OoJRvZdy,256,16,100,64,4,512,1,0.0001
6bqSKMeX,256,16,100,64,4,512,1,1e-05
RhJUK9Ay,256,32,100,64,4,512,1,0.001
yt8Sc5Fi,256,32,100,64,4,512,1,0.0001
8xPxZL25,256,32,100,64,4,512,1,1e-05
v4cUH7tb,256,8,100,128,4,512,1,0.001
QvOoq3Ch,256,8,100,128,4,512,1,0.0001
3dqXEW2J,256,8,100,128,4,512,1,1e-05
9WegXEq9,256,16,100,128,4,512,1,0.001
EayYxB3y,256,16,100,128,4,512,1,0.0001
R44oRsrI,64,16,100,256,4,512,2,0.001
p1CiZIzT,64,16,100,256,4,512,2,0.001
